         11712202430 function calls (11424169438 primitive calls) in 43014.864 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 14847125   70.336    0.000  125.015    0.000 nest.py:129(_sequence_like)
 23446973  124.607    0.000  124.607    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_SetAttrValueProto}
14847018/14846664   30.792    0.000  123.860    0.000 nest.py:461(_packed_nest_with_indices)
 24466384  123.038    0.000  123.038    0.000 {method 'ByteSize' of 'google.protobuf.pyext._message.CMessage' objects}
        1    0.002    0.002  122.510  122.510 Experiment.py:193(save)
9727296/3068683   23.272    0.000  122.250    0.000 function.py:95(_make_input_signature_hashable)
   509607    1.305    0.000  121.935    0.000 dataset_ops.py:957(zip)
   509607    6.488    0.000  120.629    0.000 dataset_ops.py:3472(__init__)
 14273980   45.446    0.000  119.901    0.000 ops.py:4091(name_scope)
  6624891   31.314    0.000  119.301    0.000 options.py:89(merge_options)
   511619    8.443    0.000  119.286    0.000 resource_variable_ops.py:838(assign)
 14269008   22.018    0.000  114.355    0.000 structure.py:257(get_flat_tensor_specs)
 12232924   19.608    0.000  113.763    0.000 tpu.py:223(tpu_replicated_input_resolver)
20635850/7689967   34.487    0.000  113.360    0.000 type_spec.py:342(__make_cmp_key)
 12233192  111.256    0.000  111.256    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_NewOperation}
  1529371    5.253    0.000  111.095    0.000 tf_inspect.py:238(getfullargspec)
  7134973   30.469    0.000  110.760    0.000 base.py:854(_handle_deferred_dependencies)
 27017387  109.814    0.000  109.814    0.000 {method 'SerializeToString' of 'google.protobuf.pyext._message.CMessage' objects}
  2548035    3.883    0.000  108.967    0.000 structure.py:355(to_tensor_list)
4586538/4586478    7.483    0.000  108.227    0.000 structure.py:407(type_spec_from_value)
  3814455   14.971    0.000  106.391    0.000 Hanabi.py:212(toarray)
 18102828   59.969    0.000  106.186    0.000 Hanabi.py:111(save)
   795328    1.807    0.000  105.502    0.000 Hanabi.py:374(<listcomp>)
  3976640    5.535    0.000  103.695    0.000 Hanabi.py:245(save)
  1550248    6.388    0.000  103.232    0.000 iostream.py:195(schedule)
 67821741   63.148    0.000  102.969    0.000 ops.py:5989(get_default_graph)
 21925236   46.095    0.000  102.297    0.000 dtypes.py:172(is_compatible_with)
  1529347   19.463    0.000  102.276    0.000 inspect.py:1089(getfullargspec)
   509607    5.143    0.000  101.983    0.000 callbacks.py:202(__init__)
 12233596   36.700    0.000  101.905    0.000 ops.py:4439(_apply_device_functions)
 21925251   52.010    0.000  101.075    0.000 tensor_shape.py:746(__init__)
  4586538   14.995    0.000  100.744    0.000 type_spec.py:555(_type_spec_from_value)
  1528839   32.868    0.000   98.901    0.000 conversion.py:129(is_whitelisted)
  1012404    3.641    0.000   98.561    0.000 nest.py:1061(map_structure_up_to)
  8664844   50.400    0.000   97.381    0.000 functools.py:44(update_wrapper)
   509641    3.309    0.000   96.721    0.000 resource_variable_ops.py:606(numpy)
  3976640    6.194    0.000   95.981    0.000 Hanabi.py:246(<listcomp>)
  3057672    2.898    0.000   95.068    0.000 structure.py:321(reduce_fn)
  1012404   10.366    0.000   94.920    0.000 nest.py:1142(map_structure_with_tuple_paths_up_to)
 15295078   17.606    0.000   93.870    0.000 {built-in method builtins.all}
   509607    2.131    0.000   93.367    0.000 data_adapter.py:995(_process_tensorlike)
  1538121   28.247    0.000   91.845    0.000 function.py:2151(_build_call_outputs)
 28037415   91.631    0.000   91.631    0.000 {method 'CopyFrom' of 'google.protobuf.pyext._message.CMessage' objects}
 11725140   10.513    0.000   91.489    0.000 ops.py:421(shape)
  1528852   13.702    0.000   89.813    0.000 api.py:157(tf_convert)
  8156971   61.538    0.000   89.153    0.000 tensor_shape.py:1193(as_proto)
  7644439   30.225    0.000   88.849    0.000 tensor_spec.py:39(__init__)
  1528962    3.185    0.000   88.455    0.000 context.py:2346(add_function)
  1550248   88.059    0.000   88.059    0.000 socket.py:357(send)
  1528858    4.187    0.000   87.759    0.000 <__array_function__ internals>:2(array_equal)
 35688569   86.890    0.000   86.894    0.000 _collections_abc.py:742(__iter__)
  5096070   12.718    0.000   86.858    0.000 dataset_ops.py:528(_flat_shapes)
 41798780   35.470    0.000   86.039    0.000 c_api_util.py:157(tf_buffer)
  1528962    5.050    0.000   85.086    0.000 context.py:1085(add_function)
   509733    5.756    0.000   84.715    0.000 resource_variable_ops.py:668(read_value)
  7134504   10.357    0.000   84.003    0.000 structure.py:273(get_flat_tensor_shapes)
 27129145   17.828    0.000   83.185    0.000 nest.py:198(_yield_value)
