         11712202430 function calls (11424169438 primitive calls) in 43014.864 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 _base.py:2411(<listcomp>)
        2    0.000    0.000    0.000    0.000 figure.py:1089(fixlist)
       66    0.000    0.000    0.000    0.000 backend_bases.py:807(get_clip_path)
       14    0.000    0.000    0.000    0.000 patches.py:302(set_antialiased)
       10    0.000    0.000    0.000    0.000 transforms.py:2377(transform_path_non_affine)
       27    0.000    0.000    0.000    0.000 {method 'get_bitmap_offset' of 'matplotlib.ft2font.FT2Font' objects}
        4    0.000    0.000    0.000    0.000 __init__.py:601(push)
        4    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.000    0.000 __init__.py:390(format)
       56    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.OrderedDict' objects}
       40    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        3    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        4    0.000    0.000    0.000    0.000 backend_pdf.py:512(<genexpr>)
       22    0.000    0.000    0.000    0.000 np_math_ops.py:926(_wrap)
        2    0.000    0.000    0.000    0.000 backend_pdf.py:2377(finalize)
       23    0.000    0.000    0.000    0.000 training.py:2563(_assert_compile_was_called)
        1    0.000    0.000    0.000    0.000 losses.py:1838(deserialize)
        4    0.000    0.000    0.000    0.000 optimizer_v2.py:1256(_filter_grads)
       44    0.000    0.000    0.000    0.000 functional.py:791(_assert_weights_created)
       16    0.000    0.000    0.000    0.000 base_layer.py:1000(<genexpr>)
        8    0.000    0.000    0.000    0.000 init_ops.py:1401(_compute_fans)
       52    0.000    0.000    0.000    0.000 base.py:569(_name_based_restores)
        1    0.000    0.000    0.000    0.000 deprecation.py:336(deprecated_args)
        2    0.000    0.000    0.000    0.000 backend_agg.py:108(_update_methods)
       78    0.000    0.000    0.000    0.000 backend_bases.py:975(set_snap)
        2    0.000    0.000    0.000    0.000 figure.py:66(__init__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2240(mpl_disconnect)
        2    0.000    0.000    0.000    0.000 text.py:1059(set_fontweight)
       16    0.000    0.000    0.000    0.000 ticker.py:1819(__call__)
        4    0.000    0.000    0.000    0.000 {method 'get_sfnt_table' of 'matplotlib.ft2font.FT2Font' objects}
      142    0.000    0.000    0.000    0.000 __init__.py:1760(<listcomp>)
       28    0.000    0.000    0.000    0.000 inspect.py:229(istraceback)
       10    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
       15    0.000    0.000    0.000    0.000 enum.py:347(__repr__)
        3    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
       11    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        6    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.StringIO' objects}
       35    0.000    0.000    0.000    0.000 {built-in method math.cos}
        2    0.000    0.000    0.000    0.000 training.py:2629(_get_distribution_strategy)
       15    0.000    0.000    0.000    0.000 callbacks.py:934(set_params)
       12    0.000    0.000    0.000    0.000 load.py:1035(_get_keras_attr)
       38    0.000    0.000    0.000    0.000 constraints.py:299(get)
       28    0.000    0.000    0.000    0.000 base_layer.py:1223(supports_masking)
       32    0.000    0.000    0.000    0.000 reaching_definitions.py:51(__init__)
        3    0.000    0.000    0.000    0.000 reaching_fndefs.py:122(__init__)
        4    0.000    0.000    0.000    0.000 call_trees.py:86(to_ast)
       46    0.000    0.000    0.000    0.000 saveable_object_util.py:359(<lambda>)
       24    0.000    0.000    0.000    0.000 tf_inspect.py:40(_convert_maybe_argspec_to_fullargspec)
       66    0.000    0.000    0.000    0.000 backend_bases.py:845(get_rgb)
       54    0.000    0.000    0.000    0.000 text.py:255(get_rotation_mode)
       50    0.000    0.000    0.000    0.000 markers.py:266(get_capstyle)
       32    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
        6    0.000    0.000    0.000    0.000 __init__.py:387(usesTime)
       86    0.000    0.000    0.000    0.000 weakref.py:217(keys)
        7    0.000    0.000    0.000    0.000 sre_compile.py:388(_simple)
        1    0.000    0.000    0.000    0.000 functools.py:479(decorating_function)
       10    0.000    0.000    0.000    0.000 sre_parse.py:828(fix_flags)
        2    0.000    0.000    0.000    0.000 warnings.py:159(_add_filter)
       58    0.000    0.000    0.000    0.000 {built-in method math.radians}
       78    0.000    0.000    0.000    0.000 node.py:118(keras_inputs)
       23    0.000    0.000    0.000    0.000 generic_utils.py:772(validate_kwargs)
        8    0.000    0.000    0.000    0.000 init_ops_v2.py:997(_assert_float_dtype)
        3    0.000    0.000    0.000    0.000 liveness.py:114(__init__)
        8    0.000    0.000    0.000    0.000 unparser.py:445(_Str)
       44    0.000    0.000    0.000    0.000 data_structures.py:747(<dictcomp>)
       49    0.000    0.000    0.000    0.000 def_function.py:926(_initialize_uninitialized_variables)
        4    0.000    0.000    0.000    0.000 axis.py:2160(get_minpos)
       66    0.000    0.000    0.000    0.000 backend_bases.py:817(get_dashes)
       78    0.000    0.000    0.000    0.000 artist.py:633(get_sketch_params)
        2    0.000    0.000    0.000    0.000 colors.py:193(_to_rgba_no_colorcycle)
        1    0.000    0.000    0.000    0.000 deprecation.py:24(_generate_deprecation_warning)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:47(_w_long)
       92    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       13    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        9    0.000    0.000    0.000    0.000 training.py:152(is_functional_model_init_params)
        1    0.000    0.000    0.000    0.000 load.py:792(_restore_layer_unconditional_losses)
       32    0.000    0.000    0.000    0.000 base_layer_utils.py:303(<genexpr>)
       10    0.000    0.000    0.000    0.000 graph_view.py:145(__init__)
        3    0.000    0.000    0.000    0.000 loss_reduction.py:61(all)
       60    0.000    0.000    0.000    0.000 liveness.py:47(init_state)
        1    0.000    0.000    0.000    0.000 distribute_lib.py:2837(__init__)
       16    0.000    0.000    0.000    0.000 distribute_lib.py:242(get_update_replica_id)
        4    0.000    0.000    0.000    0.000 distribute_lib.py:325(require_replica_context)
       40    0.000    0.000    0.000    0.000 def_function.py:906(python_function)
       26    0.000    0.000    0.000    0.000 importer.py:116(_ProcessInputMapParam)
       16    0.000    0.000    0.000    0.000 resource_variable_ops.py:573(constraint)
       66    0.000    0.000    0.000    0.000 backend_bases.py:857(get_snap)
        4    0.000    0.000    0.000    0.000 backend_bases.py:1265(__init__)
        9    0.000    0.000    0.000    0.000 _pylab_helpers.py:99(get_active)
       54    0.000    0.000    0.000    0.000 text.py:739(get_color)
      110    0.000    0.000    0.000    0.000 font_manager.py:1095(score_variant)
       50    0.000    0.000    0.000    0.000 markers.py:310(get_snap_threshold)
       16    0.000    0.000    0.000    0.000 {method 'get_kerning' of 'matplotlib.ft2font.FT2Font' objects}
       40    0.000    0.000    0.000    0.000 cycler.py:371(<genexpr>)
        1    0.000    0.000    0.000    0.000 deprecation.py:226(finalize)
        3    0.000    0.000    0.000    0.000 tempfile.py:646(close)
       18    0.000    0.000    0.000    0.000 tokenize.py:739(generate_tokens)
       15    0.000    0.000    0.000    0.000 weakref.py:371(_commit_removals)
        9    0.000    0.000    0.000    0.000 sre_compile.py:441(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 functools.py:193(total_ordering)
       20    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        2    0.000    0.000    0.000    0.000 warnings.py:449(__enter__)
       15    0.000    0.000    0.000    0.000 training.py:2544(_maybe_load_initial_epoch_from_ckpt)
       18    0.000    0.000    0.000    0.000 json_utils.py:68(<genexpr>)
        3    0.000    0.000    0.000    0.000 optimizer_v2.py:1045(_init_set_name)
        8    0.000    0.000    0.000    0.000 backend.py:360(global_learning_phase_is_set)
        2    0.000    0.000    0.000    0.000 unparser.py:88(_Expr)
       27    0.000    0.000    0.000    0.000 backend_agg.py:239(get_canvas_width_height)
        2    0.000    0.000    0.000    0.000 _base.py:2602(<listcomp>)
        6    0.000    0.000    0.000    0.000 _base.py:3241(get_xscale)
        8    0.000    0.000    0.000    0.000 backend_bases.py:757(copy_properties)
        8    0.000    0.000    0.000    0.000 mathtext.py:3316(__init__)
       12    0.000    0.000    0.000    0.000 text.py:528(_update_clip_properties)
       32    0.000    0.000    0.000    0.000 ticker.py:532(set_useOffset)
       50    0.000    0.000    0.000    0.000 lines.py:602(get_markevery)
       54    0.000    0.000    0.000    0.000 artist.py:793(get_alpha)
        1    0.000    0.000    0.000    0.000 __init__.py:170(disconnect)
        2    0.000    0.000    0.000    0.000 __init__.py:631(bubble)
       12    0.000    0.000    0.000    0.000 _datasource.py:173(_load)
        3    0.000    0.000    0.000    0.000 tempfile.py:608(__init__)
       28    0.000    0.000    0.000    0.000 inspect.py:239(isframe)
       12    0.000    0.000    0.000    0.000 __init__.py:705(filter)
    11/10    0.000    0.000    0.000    0.000 sre_compile.py:414(_get_literal_prefix)
       20    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
       24    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
        7    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
       39    0.000    0.000    0.000    0.000 backend_pdf.py:323(_paint_path)
        4    0.000    0.000    0.000    0.000 base_layer_utils.py:270(unnest_if_single_tensor)
        3    0.000    0.000    0.000    0.000 conversion.py:60(get_transformed_name)
       42    0.000    0.000    0.000    0.000 activity.py:223(__init__)
        9    0.000    0.000    0.000    0.000 distribution_strategy_context.py:42(__init__)
        2    0.000    0.000    0.000    0.000 backprop.py:822(__init__)
        8    0.000    0.000    0.000    0.000 function.py:3676(__init__)
       58    0.000    0.000    0.000    0.000 base.py:621(_object_identifier)
       63    0.000    0.000    0.000    0.000 variables.py:63(_make_getter)
        2    0.000    0.000    0.000    0.000 array_ops.py:852(_check_index)
        2    0.000    0.000    0.000    0.000 tape.py:41(watched_variables)
       16    0.000    0.000    0.000    0.000 tensor_shape.py:700(__reduce__)
        1    0.000    0.000    0.000    0.000 deprecation.py:385(_get_arg_names_to_ok_vals)
       26    0.000    0.000    0.000    0.000 context.py:934(rewriter_toggle)
       16    0.000    0.000    0.000    0.000 _base.py:2548(<genexpr>)
       50    0.000    0.000    0.000    0.000 backend_bases.py:660(points_to_pixels)
       12    0.000    0.000    0.000    0.000 patches.py:491(set_hatch)
       50    0.000    0.000    0.000    0.000 lines.py:896(get_drawstyle)
       50    0.000    0.000    0.000    0.000 markers.py:298(get_path)
      8/4    0.000    0.000    0.000    0.000 transforms.py:2348(<lambda>)
        2    0.000    0.000    0.000    0.000 transforms.py:2606(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1294(get_backend)
        4    0.000    0.000    0.000    0.000 core.py:677(getdata)
        3    0.000    0.000    0.000    0.000 tempfile.py:635(__enter__)
       25    0.000    0.000    0.000    0.000 inspect.py:253(iscode)
        1    0.000    0.000    0.000    0.000 inspect.py:614(cleandoc)
        6    0.000    0.000    0.000    0.000 inspect.py:882(__init__)
        8    0.000    0.000    0.000    0.000 weakref.py:389(__delitem__)
       26    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        3    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
        2    0.000    0.000    0.000    0.000 warnings.py:468(__exit__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       27    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        3    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
       39    0.000    0.000    0.000    0.000 backend_pdf.py:302(pdfRepr)
        4    0.000    0.000    0.000    0.000 _backend_pdf_ps.py:32(option_image_nocomposite)
       15    0.000    0.000    0.000    0.000 callbacks.py:1042(on_train_begin)
        6    0.000    0.000    0.000    0.000 functional.py:1109(get_node_index)
       28    0.000    0.000    0.000    0.000 layer_serialization.py:144(objects_to_serialize)
       10    0.000    0.000    0.000    0.000 node.py:116(<listcomp>)
        4    0.000    0.000    0.000    0.000 tf_utils.py:434(<listcomp>)
       16    0.000    0.000    0.000    0.000 base_layer_utils.py:165(<genexpr>)
        3    0.000    0.000    0.000    0.000 base_layer_utils.py:315(is_in_eager_or_tf_function)
       12    0.000    0.000    0.000    0.000 functional.py:776(<setcomp>)
       28    0.000    0.000    0.000    0.000 base_layer.py:2194(inbound_nodes)
        7    0.000    0.000    0.000    0.000 function_wrappers.py:91(ret)
        4    0.000    0.000    0.000    0.000 distribution_strategy_context.py:50(__init__)
       40    0.000    0.000    0.000    0.000 data_structures.py:140(__init__)
        4    0.000    0.000    0.000    0.000 tape.py:145(pop_tape)
        2    0.000    0.000    0.000    0.000 context.py:1245(list_physical_devices)
        4    0.000    0.000    0.000    0.000 axis.py:2460(get_minpos)
        4    0.000    0.000    0.000    0.000 figure.py:1704(<lambda>)
        2    0.000    0.000    0.000    0.000 figure.py:155(__contains__)
        2    0.000    0.000    0.000    0.000 _pylab_helpers.py:109(set_active)
        2    0.000    0.000    0.000    0.000 gridspec.py:31(__init__)
       13    0.000    0.000    0.000    0.000 __init__.py:60(__hash__)
        1    0.000    0.000    0.000    0.000 __init__.py:1268(__init__)
        6    0.000    0.000    0.000    0.000 threading.py:1230(current_thread)
        3    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       17    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       10    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationGetAttrInt}
       12    0.000    0.000    0.000    0.000 np_utils.py:165(_add_blank_line)
        8    0.000    0.000    0.000    0.000 backend_pdf.py:2242(dash_cmd)
       12    0.000    0.000    0.000    0.000 training.py:2632(_compile_was_called)
       24    0.000    0.000    0.000    0.000 load.py:539(<genexpr>)
       16    0.000    0.000    0.000    0.000 generic_utils.py:77(__init__)
       28    0.000    0.000    0.000    0.000 base_layer.py:2200(outbound_nodes)
        7    0.000    0.000    0.000    0.000 base_layer.py:2489(_set_mask_keras_history_checked)
       40    0.000    0.000    0.000    0.000 base_layer.py:2821(<genexpr>)
       13    0.000    0.000    0.000    0.000 checkpoint_options.py:44(__init__)
       17    0.000    0.000    0.000    0.000 cache.py:74(_get_key)
       12    0.000    0.000    0.000    0.000 parser.py:217(<genexpr>)
        9    0.000    0.000    0.000    0.000 unparser.py:854(_alias)
       10    0.000    0.000    0.000    0.000 revived_types.py:170(registered_identifiers)
        4    0.000    0.000    0.000    0.000 array_ops.py:778(<genexpr>)
        8    0.000    0.000    0.000    0.000 tensor_spec.py:107(_serialize)
        6    0.000    0.000    0.000    0.000 _base.py:3635(get_yscale)
        2    0.000    0.000    0.000    0.000 figure.py:544(set_constrained_layout_pads)
       32    0.000    0.000    0.000    0.000 ticker.py:556(set_useMathText)
        2    0.000    0.000    0.000    0.000 pyplot.py:619(get_fignums)
       32    0.000    0.000    0.000    0.000 fromnumeric.py:1800(_nonzero_dispatcher)
       15    0.000    0.000    0.000    0.000 _bokeh.py:36(find_module)
        5    0.000    0.000    0.000    0.000 pickle.py:188(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:120(getLevelName)
        1    0.000    0.000    0.000    0.000 np_arrays.py:91(ndarray)
        1    0.000    0.000    0.000    0.000 backend_pdf.py:432(PdfFile)
       12    0.000    0.000    0.000    0.000 backend_pdf.py:271(__hash__)
        3    0.000    0.000    0.000    0.000 training_utils.py:1926(_is_graph_model)
       32    0.000    0.000    0.000    0.000 layer_serialization.py:34(object_identifier)
        8    0.000    0.000    0.000    0.000 init_ops_v2.py:1020(__init__)
        9    0.000    0.000    0.000    0.000 cfg.py:665(_exit_lexical_scope)
       30    0.000    0.000    0.000    0.000 reaching_fndefs.py:58(__ne__)
        2    0.000    0.000    0.000    0.000 data_structures.py:66(_should_wrap_tuple)
       22    0.000    0.000    0.000    0.000 function.py:1969(inputs)
        2    0.000    0.000    0.000    0.000 file_io.py:183(tell)
        8    0.000    0.000    0.000    0.000 figure.py:1703(<genexpr>)
       76    0.000    0.000    0.000    0.000 backend_bases.py:990(get_hatch)
       54    0.000    0.000    0.000    0.000 text.py:550(get_wrap)
        8    0.000    0.000    0.000    0.000 transforms.py:296(y0)
        6    0.000    0.000    0.000    0.000 tempfile.py:580(close)
        2    0.000    0.000    0.000    0.000 contextlib.py:338(__exit__)
        5    0.000    0.000    0.000    0.000 enum.py:20(_is_descriptor)
       11    0.000    0.000    0.000    0.000 enum.py:28(_is_dunder)
        3    0.000    0.000    0.000    0.000 enum.py:419(_get_mixins_)
        5    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
       13    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_NewContextOptions}
        1    0.000    0.000    0.000    0.000 cp1252.py:33(getregentry)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
       30    0.000    0.000    0.000    0.000 callbacks.py:758(on_train_end)
       16    0.000    0.000    0.000    0.000 input_spec.py:75(<dictcomp>)
       12    0.000    0.000    0.000    0.000 generic_utils.py:781(validate_config)
        1    0.000    0.000    0.000    0.000 util.py:700(__init__)
       48    0.000    0.000    0.000    0.000 distribute_lib.py:2970(_local_results)
       26    0.000    0.000    0.000    0.000 importer.py:193(<genexpr>)
       48    0.000    0.000    0.000    0.000 base.py:633(_tracking_metadata)
        1    0.000    0.000    0.000    0.000 deprecation.py:395(_get_deprecated_positional_arguments)
       14    0.000    0.000    0.000    0.000 _base.py:2470(_get_axis_list)
        1    0.000    0.000    0.000    0.000 _subplots.py:216(subplot_class_factory)
       66    0.000    0.000    0.000    0.000 backend_bases.py:1001(get_hatch_color)
        1    0.000    0.000    0.000    0.000 font_manager.py:1297(is_opentype_cff_font)
      110    0.000    0.000    0.000    0.000 font_manager.py:721(get_size)
        2    0.000    0.000    0.000    0.000 rcsetup.py:123(validate_bool)
        2    0.000    0.000    0.000    0.000 type_check.py:280(iscomplexobj)
       32    0.000    0.000    0.000    0.000 fromnumeric.py:2017(_clip_dispatcher)
        8    0.000    0.000    0.000    0.000 pickle.py:645(save_bool)
        7    0.000    0.000    0.000    0.000 codecs.py:185(__init__)
       27    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       41    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       15    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_DeleteContextOptions}
        2    0.000    0.000    0.000    0.000 backend_pdf.py:921(<listcomp>)
        1    0.000    0.000    0.000    0.000 tmp8qbpsgmy.py:2(<module>)
        1    0.000    0.000    0.000    0.000 tmpq6hruh55.py:2(<module>)
        2    0.000    0.000    0.000    0.000 compile_utils.py:416(_get_metric_objects)
       15    0.000    0.000    0.000    0.000 callbacks.py:944(on_train_begin)
       17    0.000    0.000    0.000    0.000 load.py:673(_config_node_setter)
        1    0.000    0.000    0.000    0.000 util.py:855(expect_partial)
        3    0.000    0.000    0.000    0.000 transpiler.py:290(_erase_arg_defaults)
        9    0.000    0.000    0.000    0.000 cfg.py:425(_connect_jump_to_finally_sections)
       12    0.000    0.000    0.000    0.000 return_statements.py:161(__init__)
        7    0.000    0.000    0.000    0.000 api.py:119(__init__)
        2    0.000    0.000    0.000    0.000 distribution_strategy_context.py:154(in_cross_replica_context)
       17    0.000    0.000    0.000    0.000 ops.py:6423(<genexpr>)
       32    0.000    0.000    0.000    0.000 scale.py:43(__init__)
        2    0.000    0.000    0.000    0.000 _base.py:886(set_axes_locator)
       28    0.000    0.000    0.000    0.000 axis.py:361(<dictcomp>)
        2    0.000    0.000    0.000    0.000 figure.py:932(get_facecolor)
        4    0.000    0.000    0.000    0.000 figure.py:78(get)
       28    0.000    0.000    0.000    0.000 backend_bases.py:912(set_dashes)
        2    0.000    0.000    0.000    0.000 __init__.py:573(__init__)
        2    0.000    0.000    0.000    0.000 npyio.py:1339(WriteWrap)
       15    0.000    0.000    0.000    0.000 _cv2.py:70(find_module)
        6    0.000    0.000    0.000    0.000 threading.py:1076(name)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        6    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       18    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        8    0.000    0.000    0.000    0.000 backend_pdf.py:2236(joinstyle_cmd)
        1    0.000    0.000    0.000    0.000 tmp9oywuw_5.py:2(<module>)
       12    0.000    0.000    0.000    0.000 compile_utils.py:596(map_missing_dict_keys)
        4    0.000    0.000    0.000    0.000 functional.py:938(<listcomp>)
       20    0.000    0.000    0.000    0.000 save_impl.py:117(<dictcomp>)
       10    0.000    0.000    0.000    0.000 node.py:115(<listcomp>)
        7    0.000    0.000    0.000    0.000 functional.py:768(<genexpr>)
        3    0.000    0.000    0.000    0.000 transpiler.py:150(__init__)
        3    0.000    0.000    0.000    0.000 functions.py:41(_function_scope_options)
        3    0.000    0.000    0.000    0.000 return_statements.py:70(visit_Return)
        3    0.000    0.000    0.000    0.000 transformer.py:55(__init__)
        5    0.000    0.000    0.000    0.000 unparser.py:772(_arg)
        1    0.000    0.000    0.000    0.000 distribute_lib.py:2888(__init__)
       26    0.000    0.000    0.000    0.000 importer.py:128(_ProcessReturnElementsParam)
        8    0.000    0.000    0.000    0.000 meta_graph.py:171(<listcomp>)
        2    0.000    0.000    0.000    0.000 tensor_shape.py:916(num_elements)
        8    0.000    0.000    0.000    0.000 _base.py:2432(tol)
       12    0.000    0.000    0.000    0.000 axis.py:822(get_scale)
        8    0.000    0.000    0.000    0.000 figure.py:140(current_key_axes)
       66    0.000    0.000    0.000    0.000 backend_bases.py:1009(get_hatch_linewidth)
       12    0.000    0.000    0.000    0.000 figure.py:74(<listcomp>)
        2    0.000    0.000    0.000    0.000 gridspec.py:508(__init__)
       50    0.000    0.000    0.000    0.000 markers.py:263(get_joinstyle)
       28    0.000    0.000    0.000    0.000 transforms.py:2053(get_matrix)
        2    0.000    0.000    0.000    0.000 transforms.py:394(width)
       32    0.000    0.000    0.000    0.000 function_base.py:1137(_diff_dispatcher)
        3    0.000    0.000    0.000    0.000 tempfile.py:622(func_wrapper)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       62    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'flush' of '_io._IOBase' objects}
        3    0.000    0.000    0.000    0.000 {method '__enter__' of '_io._IOBase' objects}
       24    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
        2    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeWatchedVariables}
        6    0.000    0.000    0.000    0.000 backend_pdf.py:2233(capstyle_cmd)
       25    0.000    0.000    0.000    0.000 activations.py:405(linear)
        4    0.000    0.000    0.000    0.000 training.py:2475(<genexpr>)
       19    0.000    0.000    0.000    0.000 signature_serialization.py:212(__getitem__)
        8    0.000    0.000    0.000    0.000 signature_serialization.py:218(__len__)
       26    0.000    0.000    0.000    0.000 function_deserialization.py:363(<lambda>)
       59    0.000    0.000    0.000    0.000 nested_structure_coder.py:342(do_decode)
        2    0.000    0.000    0.000    0.000 losses.py:185(_get_reduction)
        5    0.000    0.000    0.000    0.000 load.py:146(_is_graph_network)
        7    0.000    0.000    0.000    0.000 doc_controls.py:168(for_subclass_implementers)
       21    0.000    0.000    0.000    0.000 transpiler.py:203(<genexpr>)
       12    0.000    0.000    0.000    0.000 origin_info.py:162(__init__)
        2    0.000    0.000    0.000    0.000 distribute_lib.py:1397(num_replicas_in_sync)
        8    0.000    0.000    0.000    0.000 tpu.py:209(<lambda>)
        1    0.000    0.000    0.000    0.000 context.py:1235(<listcomp>)
        8    0.000    0.000    0.000    0.000 axis.py:1559(have_units)
       24    0.000    0.000    0.000    0.000 axis.py:1579(set_units)
       12    0.000    0.000    0.000    0.000 axis.py:1865(get_label_position)
       12    0.000    0.000    0.000    0.000 scale.py:79(limit_range_for_scale)
       24    0.000    0.000    0.000    0.000 spines.py:217(get_path)
        2    0.000    0.000    0.000    0.000 __init__.py:44(get_projection_class)
        4    0.000    0.000    0.000    0.000 figure.py:152(__call__)
        2    0.000    0.000    0.000    0.000 gridspec.py:382(<dictcomp>)
       60    0.000    0.000    0.000    0.000 ticker.py:295(_set_locator)
        6    0.000    0.000    0.000    0.000 __init__.py:626(clear)
        4    0.000    0.000    0.000    0.000 __init__.py:827(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1997(__init__)
       32    0.000    0.000    0.000    0.000 fromnumeric.py:2473(_ptp_dispatcher)
        4    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 tempfile.py:590(__del__)
        3    0.000    0.000    0.000    0.000 configurable.py:381(instance)
        3    0.000    0.000    0.000    0.000 configurable.py:426(initialized)
        3    0.000    0.000    0.000    0.000 tokenize.py:224(__init__)
        2    0.000    0.000    0.000    0.000 os.py:794(fsencode)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
       13    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        9    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 np_utils.py:206(<listcomp>)
        1    0.000    0.000    0.000    0.000 backend_pdf.py:2182(GraphicsContextPdf)
        1    0.000    0.000    0.000    0.000 <string>:5(KerasHistory)
       11    0.000    0.000    0.000    0.000 nested_structure_coder.py:247(<listcomp>)
        1    0.000    0.000    0.000    0.000 load.py:589(<dictcomp>)
        1    0.000    0.000    0.000    0.000 load.py:300(<listcomp>)
        2    0.000    0.000    0.000    0.000 optimizer_v2.py:379(_clip_gradients)
        8    0.000    0.000    0.000    0.000 base_layer.py:2629(<genexpr>)
       15    0.000    0.000    0.000    0.000 base_layer.py:2825(<genexpr>)
        6    0.000    0.000    0.000    0.000 cfg.py:484(enter_section)
        6    0.000    0.000    0.000    0.000 cfg.py:553(new_cond_branch)
        9    0.000    0.000    0.000    0.000 cfg.py:662(_enter_lexical_scope)
        1    0.000    0.000    0.000    0.000 ag_ctx.py:76(_default_control_status_ctx)
        6    0.000    0.000    0.000    0.000 continue_statements.py:54(__init__)
        3    0.000    0.000    0.000    0.000 parser.py:54(_unfold_continuations)
        6    0.000    0.000    0.000    0.000 unparser.py:113(<lambda>)
        3    0.000    0.000    0.000    0.000 unparser.py:223(_Raise)
       16    0.000    0.000    0.000    0.000 distribute_lib.py:2901(variable_created_in_scope)
        2    0.000    0.000    0.000    0.000 def_function.py:62(called_with_tracing)
       18    0.000    0.000    0.000    0.000 resource_variable_ops.py:460(_assign_dependencies)
       16    0.000    0.000    0.000    0.000 resource_variable_ops.py:664(<lambda>)
        8    0.000    0.000    0.000    0.000 math_ops.py:1800(<genexpr>)
        2    0.000    0.000    0.000    0.000 tape.py:51(push_tape)
       27    0.000    0.000    0.000    0.000 tensor_shape.py:849(__bool__)
        8    0.000    0.000    0.000    0.000 tensor_shape.py:1223(__reduce__)
        7    0.000    0.000    0.000    0.000 tf_stack.py:83(reset)
        7    0.000    0.000    0.000    0.000 tf_stack.py:95(reset)
        8    0.000    0.000    0.000    0.000 axis.py:645(__init__)
       16    0.000    0.000    0.000    0.000 axis.py:788(get_remove_overlapping_locs)
        6    0.000    0.000    0.000    0.000 transforms.py:931(minposx)
